commodity,emission,value,units,notes,source
F_ng,CO2,3.55,kTonne/PJ,Upstream emissions ,[F7]
F_cng,CO2,3.55,kTonne/PJ,Upstream emissions ,[F7]
F_coal,CO2,15,kTonne/PJ,Upstream emissions ,[F7]
F_oil,CO2,15,kTonne/PJ,Upstream emissions ,[F7]
F_gsl,CO2,15,kTonne/PJ,Upstream emissions ,[F7]
F_lpg,CO2,12,kTonne/PJ,Upstream emissions ,[F7]
F_ngl,CO2,12,kTonne/PJ,Upstream emissions ,[F7]
F_prop,CO2,12,kTonne/PJ,Upstream emissions ,[F7]
F_hfo,CO2,12.4,kTonne/PJ,Upstream emissions ,[F7]
F_oil,CO2,12.4,kTonne/PJ,Upstream emissions ,[F7]
F_coke,CO2,36,kTonne/PJ,Upstream emissions ,[F7]
F_pcoke,CO2,36,kTonne/PJ,Upstream emissions ,[F7]
F_jtf,CO2,15,kTonne/PJ,Upstream emissions ,[F7]
F_spk,CO2,15,kTonne/PJ,Upstream emissions ,[F7]
F_mdo,CO2,12.4,kTonne/PJ,Upstream emissions ,[F7]
F_dsl,CO2,18.30842388,kTonne/PJ,Upstream emissions ,[F7]
